director_name,director_name,proportion
Florian Henckel von Donnersmarck,3,0.07987220447284345
Forest Whitaker,1,0.026624068157614485
Francis Ford Coppola,9,0.23961661341853036
Francis Lawrence,5,0.13312034078807242
Franck Khalfoun,1,0.026624068157614485
Franco Zeffirelli,1,0.026624068157614485
Frank Coraci,7,0.1863684771033014
Frank Darabont,4,0.10649627263045794
Frank LaLoggia,1,0.026624068157614485
Frank Marshall,4,0.10649627263045794
Frank Miller,3,0.07987220447284345
Frank Nissen,1,0.026624068157614485
Frank Oz,8,0.21299254526091588
Frank Whaley,1,0.026624068157614485
Franklin J. Schaffner,1,0.026624068157614485
François Girard,1,0.026624068157614485
François Ozon,1,0.026624068157614485
François Truffaut,1,0.026624068157614485
Fred Dekker,1,0.026624068157614485
Fred Durst,1,0.026624068157614485
Fred Savage,1,0.026624068157614485
Fred Schepisi,1,0.026624068157614485
Fred Walton,1,0.026624068157614485
Fred Wolf,2,0.05324813631522897
Frederik Du Chau,1,0.026624068157614485
Fritz Lang,1,0.026624068157614485
Gabor Csupo,1,0.026624068157614485
Gabriele Muccino,4,0.10649627263045794
Gareth Edwards,1,0.026624068157614485
Gareth Evans,1,0.026624068157614485
Garry Marshall,8,0.21299254526091588
Garth Jennings,1,0.026624068157614485
Gary Chapman,1,0.026624068157614485
Gary David Goldberg,1,0.026624068157614485
Gary Fleder,6,0.1597444089456869
Gary Halvorson,1,0.026624068157614485
Gary Hardwick,1,0.026624068157614485
Gary McKendry,1,0.026624068157614485
Gary Rogers,1,0.026624068157614485
Gary Ross,3,0.07987220447284345
Gary Sherman,1,0.026624068157614485
Gary Shore,1,0.026624068157614485
Gary Trousdale,2,0.05324813631522897
Gary Winick,4,0.10649627263045794
Gaspar Noé,1,0.026624068157614485
Gavin Hood,4,0.10649627263045794
Gavin O'Connor,5,0.13312034078807242
Gene Quintano,1,0.026624068157614485
Genndy Tartakovsky,2,0.05324813631522897
Geoff Murphy,1,0.026624068157614485
Geoffrey Sax,2,0.05324813631522897
George A. Romero,3,0.07987220447284345
George Armitage,2,0.05324813631522897
George Clooney,4,0.10649627263045794
George Cukor,1,0.026624068157614485
George Gallo,2,0.05324813631522897
George Hickenlooper,2,0.05324813631522897
George Jackson,1,0.026624068157614485
