plot_keywords,plot_keywords,proportion
afghanistan|death of marine|dog|dog adoption|man dog relationship,1,0.026624068157614485
afghanistan|death of soldier|presumed dead|prisoner|war trauma,2,0.05324813631522897
afghanistan|detainee|guantanamo bay|taxi|torture,1,0.026624068157614485
afghanistan|professor|reporter|student|university,1,0.026624068157614485
african american,1,0.026624068157614485
african american protagonist|african americans|boxing gym|gym|rumble in the jungle,1,0.026624068157614485
african american protagonist|based on novel|title spoken by character,1,0.026624068157614485
african american protagonist|comma in title|four word title|name in title|talk show host,1,0.026624068157614485
african american stereotype|car wash|rent|roommate|threatening telephone call,1,0.026624068157614485
african american|amputee|navy|racial discrimination|racism,1,0.026624068157614485
african american|bachelor party|brooklyn bridge|family relationships|stripper,1,0.026624068157614485
african american|basketball|basketball movie|critically bashed|tv commercial,1,0.026624068157614485
african american|battle|italy|tuskegee airmen|world war two,1,0.026624068157614485
african american|black history|civil rights|ku klux klan|nation of islam,1,0.026624068157614485
african american|book|boxer|boxing|murder,1,0.026624068157614485
african american|business|coastline|florida|real estate,1,0.026624068157614485
african american|cadillac|disguise|secret agent|undercover,1,0.026624068157614485
african american|catastrophe|family relationships|farewell scene|therapy,1,0.026624068157614485
african american|coach|football movie|nonlinear timeline|syracuse university,1,0.026624068157614485
african american|commitment|friend|friendship|playboy,1,0.026624068157614485
african american|court|law|mississippi|trial,1,0.026624068157614485
african american|crossdresser|fbi|undercover|vomiting,1,0.026624068157614485
african american|cult film|ex boyfriend|middle class|sex,1,0.026624068157614485
african american|dance|overalls|parody|rap,1,0.026624068157614485
african american|dating|independent film|irreverence|revenge,1,0.026624068157614485
african american|dog|homecoming queen|insecurity|surgery,1,0.026624068157614485
african american|family relationships|stand up comedian|stand up comedy,1,0.026624068157614485
african american|flashback|marijuana joint|porn magazine|suburb,1,0.026624068157614485
african american|geek|hip hop|party|tomboy,1,0.026624068157614485
african american|harlem manhattan new york city|manhattan new york city|new york city|urination,1,0.026624068157614485
african american|imperative in title|las vegas nevada|nevada|wedding,1,0.026624068157614485
african american|mail carrier|poetry|postal worker|south central los angeles,1,0.026624068157614485
african|assassination|dialect|interpreter|threat,1,0.026624068157614485
africa|american|border|doctor|well,1,0.026624068157614485
africa|anthropologist|murder|poacher|psychiatrist,1,0.026624068157614485
africa|apartheid|nelson mandela|president|resistance,1,0.026624068157614485
africa|bat|hawaiian shirt|pregnancy|pregnant,1,0.026624068157614485
africa|bed|boy|cheetah|south africa,1,0.026624068157614485
africa|biker|church|orphanage|preacher,1,0.026624068157614485
africa|capture|jungle|male objectification|tarzan,2,0.05324813631522897
africa|chimpanzee|elephant|safari|shaman,1,0.026624068157614485
africa|eyeglasses|money|texas|veteran,1,0.026624068157614485
africa|hunter|love|marriage|plantation,1,0.026624068157614485
africa|madagascar|new york city|sequel|zoo,1,0.026624068157614485
afterlife|baby boy|bird in a cage|ghost|reunited family,1,0.026624068157614485
afterlife|bullfight|bullfighting|love triangle|mexico,1,0.026624068157614485
afterlife|camping|death|hitchhiker|suicide,1,0.026624068157614485
age difference|courtesan|mansion|marriage|prostitute,1,0.026624068157614485
age difference|school|student|teacher|writing,1,0.026624068157614485
agent|alien|bomb|fbi|government,1,0.026624068157614485
agent|british|ice skater|ship|spy,1,0.026624068157614485
agent|career|client|fiance|sports agent,1,0.026624068157614485
agent|cia|france|rescue|teenage abduction,1,0.026624068157614485
agent|cia|mariachi|mexican|president,1,0.026624068157614485
